hour,kWh per capita,demand
437,0.612479167,1799586.288
438,0.623570833,1832175.822
439,0.662554167,1946716.653
440,0.710395833,2087285.037
441,0.787295833,2313232.617
442,0.848429167,2492854.578
443,0.861629167,2531638.818
444,0.852479167,2504754.288
445,0.852729167,2505488.838
446,0.838133333,2462603.359
447,0.802829167,2358872.658
448,0.782933333,2300414.719
449,0.780225,2292457.095
450,0.822941667,2417967.206
451,0.853304167,2507178.303
452,0.861633333,2531651.059
453,0.852291667,2504203.376
454,0.815179167,2395159.428
455,0.756708333,2223360.424
456,0.698295833,2051732.817
457,0.641133333,1883777.959
458,0.597583333,1755819.349
459,0.5745375,1688106.083
460,0.566079167,1663253.808
461,0.563770833,1656471.462
462,0.570333333,1675753.399
463,0.5892625,1731371.078
464,0.6093125,1790281.988
465,0.6627,1947145.14
466,0.7282875,2139854.333
467,0.763808333,2244221.644
468,0.769008333,2259500.284
469,0.7825875,2299398.593
470,0.776091667,2280312.536
471,0.738004167,2168403.843
472,0.713120833,2095291.632
473,0.704041667,2068615.226
474,0.750454167,2204984.433
475,0.803175,2359888.785
476,0.834175,2450972.985
477,0.8407625,2470328.378
478,0.8128125,2388205.688
479,0.743933333,2185824.919
480,0.67565,1985194.83
481,0.622941667,1830327.206
482,0.591695833,1738520.697
483,0.5804125,1705368.008
484,0.582833333,1712480.899
485,0.604345833,1775688.927
486,0.678975,1994964.345
487,0.811266667,2383663.721
488,0.9058125,2661458.288
489,0.938758333,2758259.734
490,0.957379167,2812971.468
491,0.9528875,2799774.053
492,0.9426625,2769730.958
493,0.93835,2757059.97
494,0.907745833,2667138.807
495,0.892916667,2623567.751
496,0.8854125,2601519.008
497,0.8849375,2600123.363
498,0.915304167,2689346.703
499,0.960195833,2821247.397
500,0.974820833,2864218.572
501,0.95445,2804364.99
502,0.8820625,2591676.038
503,0.797904167,2344402.023
504,0.734845833,2159124.027
505,0.679170833,1995539.742
506,0.647083333,1901260.249
507,0.632379167,1858056.468
508,0.632829167,1859378.658
509,0.650225,1910491.095
510,0.7132625,2095707.878
511,0.835041667,2453519.426
512,0.9236875,2713978.613
513,0.9554875,2807413.373
514,0.975254167,2865491.793
515,0.979333333,2877477.199
516,0.969908333,2849784.664
517,0.9673125,2842157.588
518,0.94375,2772926.25
519,0.929804167,2731950.603
520,0.928383333,2727775.909
521,0.933695833,2743385.097
522,0.962170833,2827050.342
523,0.995775,2925786.105
524,1.003741667,2949193.766
525,0.977570833,2872298.622
526,0.900658333,2646314.314
527,0.8114375,2384165.663
528,0.746441667,2193194.906
529,0.693045833,2036307.267
530,0.655708333,1926602.224
531,0.6415,1884855.3
532,0.637045833,1871768.067
533,0.653470833,1920028.002
534,0.717429167,2107950.378
535,0.838933333,2464953.919
536,0.920991667,2706057.716
537,0.951808333,2796603.244
538,0.965904167,2838019.623
539,0.968516667,2845695.671
540,0.953545833,2801708.367
541,0.949533333,2789918.839
542,0.92065,2705053.83
543,0.908904167,2670542.223
544,0.9028375,2652717.143
545,0.904141667,2656549.046
546,0.932054167,2738561.553
547,0.969216667,2847752.411
548,0.980220833,2880084.852
549,0.9543625,2804107.898
550,0.884329167,2598335.958
551,0.797533333,2343312.439
552,0.730991667,2147799.716
553,0.680329167,1998943.158
554,0.648566667,1905618.581
555,0.6336125,1861680.248
556,0.632654167,1858864.473
557,0.646095833,1898358.777
558,0.709441667,2084481.506
559,0.827304167,2430785.103
560,0.906241667,2662719.266
561,0.9270375,2723821.583
562,0.936395833,2751318.237
563,0.938066667,2756227.481
564,0.929758333,2731815.934
565,0.928645833,2728547.187
566,0.898508333,2639997.184
567,0.886404167,2604432.723
568,0.877216667,2577438.011
569,0.8771875,2577352.313
570,0.903870833,2655753.282
571,0.948191667,2785976.756
572,0.958175,2815309.785
573,0.935533333,2748784.039
574,0.8697125,2555389.268
575,0.7891875,2318790.713
576,0.7342875,2157483.533
577,0.685391667,2013817.796
578,0.648083333,1904198.449
579,0.637433333,1872906.619
580,0.631825,1856428.215
581,0.645179167,1895665.428
582,0.7056375,2073304.103
583,0.824904167,2423733.423
584,0.896670833,2634598.242
585,0.923333333,2712937.999
586,0.929879167,2732170.968
587,0.917354167,2695370.013
588,0.902666667,2652215.201
589,0.8942625,2627522.078
590,0.862579167,2534430.108
591,0.839983333,2468039.029
592,0.827620833,2431715.532
593,0.823529167,2419693.398
594,0.8475,2490124.5
595,0.894983333,2629640.029
596,0.902383333,2651382.709
597,0.8877625,2608423.778
598,0.833079167,2447753.208
599,0.768458333,2257884.274
600,0.720525,2117046.555
601,0.670504167,1970075.343
602,0.6295625,1849780.538
603,0.61015,1792742.73
604,0.602375,1769898.225
605,0.596016667,1751216.171
606,0.607808333,1785862.444
607,0.647625,1902851.775
608,0.6881875,2022032.513
609,0.756345833,2222295.327
610,0.802358333,2357489.254
611,0.803679167,2361370.128
612,0.7879625,2315191.418
613,0.780645833,2293693.587
614,0.762325,2239863.315
615,0.726379167,2134247.268
616,0.706683333,2076376.969
617,0.6967125,2047080.668
618,0.729195833,2142523.197
619,0.786325,2310380.115
620,0.804729167,2364455.238
621,0.807029167,2371213.098
622,0.7769,2282687.58
623,0.726341667,2134137.086
624,0.668529167,1964272.398
625,0.620125,1822051.275
626,0.584575,1717598.265
627,0.561054167,1648489.353
628,0.554145833,1628191.287
629,0.553445833,1626134.547
630,0.5618625,1650864.398
631,0.5809375,1706910.563
632,0.600654167,1764842.073
633,0.64855,1905569.61
634,0.704058333,2068664.194
635,0.729591667,2143686.236
636,0.728458333,2140356.274
637,0.7321,2151056.22
638,0.7268125,2135520.488
639,0.691475,2031691.845
640,0.670295833,1969463.217
